data,gender,universityType,courseAreaGeneral,courseName,parentsEducation,basicSchoolType,childhoodHobbiesTime,childhoodMainActivities,currentCourseDesired,currentCourseIdentification,familyInfluence,motivesOrder,societalContribution,financialReturn,financialReturnTime,courseAvailability,familyInCourseArea,futureProfessionalSelf,stemCareerInterest,stemCareerEverInterest,stemCareerDesistanceReason,schoolExactInterestByGender,preCollegeExactInterestLevel,familySchoolPerformanceValue,teacherPerformanceValue,scienceReference,admiredExactTeachersGender,lostInterestExactSciences,mainReasonLeavingSTEM,feltSTEMNotForMeEver,feelingExcludedTech,feelingExcludedExact,familyStudyIncentive,activityGenderRestriction,professionsByGenderOpinion,professionSuitabilityOpinion
02/09/2025 11:26:58,genero-masculino,undergraduate,exatas,Ciências da Computação ,superior-completo,privado-publico,sim-tempo-apoio,"brincar-esportes,jogar-videogame",nao-primeira-opcao,sim-parcialmente,nao-muito,"Expectativa de boa remuneração ou estabilidade financeira,Influência de familiares (pais, responsáveis, parentes),Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho)",contribuicao-nao-importante,alguma-influencia,retorno-demorado,opcoes-limitadas,primeiro-da-familia,5,5,sim,nao-desisti,meninos,pouco-interesse,valorizava-muito,maioria-valorizava,.,masculino,sim-perdi,falta-oportunidades,sim-ja-senti,2,3,5,2,1,4
02/09/2025 11:28:08,genero-masculino,undergraduate,exatas,Ciência da Computação,medio-completo,publico-publico,sim-tempo-apoio,"brincar-esportes,jogar-videogame,programar-montar",desde-medio,sim-completamente,nao-baseado-no-que-queria,"Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Afinidade com a área / interesse pessoal pelos temas do curso,Identificação com o tipo de profissional que atua na área",contribuicao-nao-importante,alguma-influencia,retorno-rapido,opcoes-limitadas,primeiro-da-familia,4,4,sim,nao-desisti,nao-diferenca,muito-interesse,valorizava-muito,alguns-valorizavam,Bill Gates,masculino,nao-perdi,dificuldade-conteudo,nao-nunca-senti,2,2,3,2,2,4
02/09/2025 11:33:22,genero-feminino,undergraduate,exatas,Ciência da Computação ,fundamental-incompleto,publico-publico,sim-tempo-apoio,"brincar-esportes,jogar-videogame,desenhar-pintar,estudar-por-conta,ler-livros",depois-medio,sim-completamente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Identificação com o tipo de profissional que atua na área",contribuicao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,mais-de-uma-pessoa,5,5,sim,nao-desisti,meninos,muito-interesse,valorizava-muito,maioria-valorizava,.,ambos,nao-perdi,nunca-afastado,nunca-pensei,1,2,3,2,2,1
02/09/2025 11:36:10,genero-masculino,undergraduate,exatas,Ciência da Computação,superior-completo,privado-publico,sim-tempo-apoio,"brincar-esportes,jogar-videogame,programar-montar,estudar-por-conta",desde-medio,sim-completamente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho)",contribuicao-importante,nao-influenciou,nao-influenciou,opcoes-limitadas,primeiro-da-familia,3,5,sim,questoes-financeiras,meninos,muito-interesse,valorizava-muito,alguns-valorizavam,Alan Turing,masculino,sim-perdi,falta-oportunidades,nunca-pensei,1,1,3,1,5,5
02/09/2025 11:57:06,genero-masculino,undergraduate,exatas,Ciência da computação ,medio-completo,publico-publico,as-vezes,"brincar-esportes,jogar-videogame",depois-medio,sim-parcialmente,sim-em-parte,"Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Escolhi por já ter experiências anteriores (ex: curso técnico, estágio, trabalho),Afinidade com a área / interesse pessoal pelos temas do curso,Influência de familiares (pais, responsáveis, parentes),Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso,Identificação com o tipo de profissional que atua na área,Pressão familiar para escolher determinada área,Poucas opções disponíveis no momento da escolha,Indecisão: escolhi por não saber o que queria fazer",contribuicao-nao-importante,alguma-influencia,retorno-demorado,falta-opcoes,primeiro-da-familia,5,5,sim,nao-desisti,meninas,muito-interesse,valorizava-muito,alguns-valorizavam,Faynman,ambos,nao-perdi,nunca-afastado,sim-ja-senti,3,3,3,1,4,4
02/09/2025 12:38:00,genero-masculino,undergraduate,exatas,Ciência da computação,superior-completo,privado-privado,as-vezes,"jogar-videogame,brincar-esportes",desde-medio,sim-completamente,nao-baseado-no-que-queria,"Identificação com o tipo de profissional que atua na área,Expectativa de boa remuneração ou estabilidade financeira,Afinidade com a área / interesse pessoal pelos temas do curso",contribuicao-nao-importante,alguma-influencia,retorno-demorado,nao-influenciou,parentes-distantes,4,5,sim,nao-desisti,meninos,algum-interesse,valorizava-moderadamente,maioria-valorizava,.,ambos,sim-perdi,nao-era-pra-mim,sim-ja-senti,2,2,5,3,1,2
02/09/2025 12:46:04,genero-masculino,undergraduate,exatas,Ciencias da Computação,pos,privado-privado,as-vezes,"jogar-videogame,brincar-esportes,desenhar-pintar",depois-medio,sim-completamente,nao-baseado-no-que-queria,"Afinidade com a área / interesse pessoal pelos temas do curso,Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Identificação com o tipo de profissional que atua na área",contribuicao-nao-importante,principal-fator,retorno-demorado,opcoes-limitadas,primeiro-da-familia,4,3,nao-tenho-certeza,,meninos,algum-interesse,valorizava-muito,tratavam-neutro,.,ambos,sim-perdi,nao-era-pra-mim,sim-ja-senti,3,2,4,1,3,5
02/09/2025 13:34:31,genero-masculino,undergraduate,exatas,Ciência da computação ,fundamental-incompleto,publico-publico,as-vezes,"ler-livros,brincar-esportes",nao-primeira-opcao,sim-parcialmente,nao-baseado-no-que-queria,"Expectativa de boa remuneração ou estabilidade financeira,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Influência de amigos(as) ou conhecidos(as) que também escolheram esse curso",contribuicao-nao-importante,alguma-influencia,retorno-demorado,nao-influenciou,primeiro-da-familia,4,4,nao,,meninos,muito-interesse,valorizava-muito,alguns-valorizavam,""".""",masculino,nao-perdi,nunca-afastado,nunca-pensei,2,1,3,4,1,1
02/09/2025 14:20:12,genero-masculino,undergraduate,sociais,Adiministração de emoresas,medio-completo,publico-publico,sim-tempo-apoio,"brincar-esportes,desenhar-pintar",nao-primeira-opcao,sim-parcialmente,nao-baseado-no-que-queria,Expectativa de boa remuneração ou estabilidade financeira,contribuicao-importante,principal-fator,retorno-demorado,falta-opcoes,parentes-distantes,5,5,nao-tenho-certeza,,meninas,nenhum-interesse,valorizava-eventualmente,alguns-valorizavam,.,masculino,nao-perdi,dificuldade-conteudo,nunca-pensei,2,2,4,1,1,1
02/09/2025 16:12:47,genero-feminino,undergraduate,sociais,Administração ,medio-completo,publico-publico,sim-tempo-apoio,brincar-esportes,depois-medio,sim-parcialmente,nao-muito,"Afinidade com a área / interesse pessoal pelos temas do curso,Facilidade de acesso ao curso (proximidade, nota do Enem, bolsa, etc.),Identificação com o tipo de profissional que atua na área",contribuicao-nao-importante,alguma-influencia,nao-influenciou,opcoes-limitadas,primeiro-da-familia,2,2,nao,,meninos,pouco-interesse,valorizava-muito,alguns-valorizavam,.,masculino,sim-perdi,dificuldade-conteudo,sim-ja-senti,2,2,4,2,2,2
